xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
319979.4525,4093184.636,2144.18,us3,34,Abies concolor,White fir,2002,Live,0.302646916,2
319993.3025,4093177.496,2143.82,us3,20.4,Abies concolor,White fir,2002,Live,0.085396164,2
319997.2325,4093174.326,2143.59,us3,55,Abies concolor,White fir,2002,Live,0.996997056,3
319995.8625,4093172.156,2143.43,us3,5.9,Calocedrus decurrens,Jeffrey pine,2002,Live,0.004454819,1
319989.2125,4093173.576,2143.79,us3,22.7,Abies concolor,White fir,2002,Dead,0.088584103,2
319988.7825,4093173.526,2143.79,us3,49.8,Abies concolor,White fir,2002,Live,0.77939628,3
319994.9425,4093157.186,2142.73,us3,27,Abies concolor,White fir,2002,Live,0.17096106,2
319992.5225,4093229.426,2150.27,us3,14.2,Abies concolor,White fir,2002,Live,0.034842675,1
319977.8125,4093242.116,2149.29,us3,7.2,Abies concolor,White fir,2002,Live,0.006513545,1
319966.7825,4093254.236,2152.35,us3,127.4,Abies concolor,White fir,2002,Live,8.005843211,6
319959.2725,4093254.586,2154.39,us3,18.6,Pinus lambertiana,Sugar pine,2002,Live,0.059472763,1
319940.8025,4093255.746,2134.576,us3,75.7,Pinus jeffreyi,Jeffrey pine,2002,Live,1.805239182,4
319942.6525,4093253.156,2134.286,us3,21,Abies concolor,White fir,2002,Live,0.09174986,2
319942.7125,4093250.326,2133.836,us3,70.7,Abies concolor,White fir,2002,Live,1.858251008,4
319942.9525,4093243.736,2132.586,us3,48.5,Abies concolor,White fir,2002,Dead,0.527094168,3
319943.9725,4093238.316,2131.686,us3,144.3,Abies concolor,White fir,2002,Live,10.90428439,6
319942.9325,4093237.366,2131.446,us3,48.1,Abies concolor,White fir,2002,Live,0.715095376,3
319941.8025,4093238.336,2131.516,us3,114.7,Abies concolor,White fir,2002,Live,6.169980693,6
319939.3725,4093235.156,2131.146,us3,87.5,Pinus lambertiana,Sugar pine,2002,Live,2.568208539,5
319940.3125,4093220.926,2128.796,us3,120.9,Abies concolor,White fir,2002,Dead,5.866649915,6
319942.7525,4093221.716,2128.296,us3,47.5,Abies concolor,White fir,2002,Live,0.693186233,3
319951.2725,4093214.336,2147.37,us3,96.5,Pinus lambertiana,Sugar pine,2002,Live,3.259170153,5
319951.1225,4093219.756,2148.62,us3,102.2,Abies concolor,White fir,2002,Live,4.634340782,6
319953.6425,4093217.756,2148.13,us3,10.6,Abies concolor,White fir,2002,Live,0.016914644,1
