xcord,ycord,zcord,plot,DBH,scientificname,commonname,year,state,carbon,sizeclass
319862.0234,4091982.106,2006.38,un1,14,Abies concolor,White fir,2002,Live,0.033641657,1
319865.2834,4091971.956,2004.44,un1,95,Pinus jeffreyi,Jeffrey pine,2002,Live,3.137248214,5
319866.2534,4091969.726,2004.05,un1,81,Abies concolor,White fir,2002,Dead,2.485747154,5
319885.0934,4091968.236,2000.77,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319885.0934,4091968.736,2000.98,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319879.1534,4091968.916,2002.27,un1,20,Abies concolor,White fir,2002,Live,0.081310767,1
319878.5834,4091967.336,2001.87,un1,28,Abies concolor,White fir,2002,Live,0.187077649,2
319878.3534,4091966.546,2002.07,un1,10,Abies concolor,White fir,2002,Live,0.014647586,1
319877.8534,4091966.546,2002.07,un1,23,Abies concolor,White fir,2002,Live,0.114929233,2
319875.4234,4091968.766,2002.76,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319874.4234,4091968.596,2002.81,un1,33,Abies concolor,White fir,2002,Live,0.281067139,2
319865.8934,4091965.196,2002.8,un1,39,Abies concolor,White fir,2002,Live,0.425208128,2
319861.6834,4091975.556,2005.4,un1,25,Abies concolor,White fir,2002,Live,0.141289597,2
319861.2234,4091974.386,2005.12,un1,40,Abies concolor,White fir,2002,Live,0.452744451,2
319860.0334,4091973.806,2005.19,un1,22,Abies concolor,White fir,2002,Live,0.10295028,2
319859.5534,4091973.426,2005.02,un1,18,Abies concolor,White fir,2002,Live,0.062645541,1
319859.7434,4091976.486,2005.62,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319858.0634,4091975.336,2005.59,un1,30,Abies concolor,White fir,2002,Live,0.221948298,2
319857.2534,4091974.326,2005.32,un1,22,Abies concolor,White fir,2002,Live,0.10295028,2
319857.2534,4091979.646,2006.44,un1,28,Abies concolor,White fir,2002,Live,0.187077649,2
319854.2034,4091978.376,2006.15,un1,111,Abies concolor,White fir,2002,Live,5.688033197,6
319855.0234,4091973.236,2005.13,un1,20,Abies concolor,White fir,2002,Live,0.081310767,1
319853.2134,4091972.806,2005.2,un1,34,Abies concolor,White fir,2002,Live,0.302646916,2
319853.8834,4091967.806,2004.33,un1,135,Pinus lambertiana,Sugar pine,2002,Live,7.378758241,6
319860.2734,4091957.026,2001.6,un1,128,Abies concolor,White fir,2002,Dead,6.762849146,6
319854.5134,4091956.756,2001.73,un1,48,Abies concolor,White fir,2002,Live,0.711415569,3
319855.7634,4091955.776,2001.51,un1,40,Abies concolor,White fir,2002,Live,0.452744451,2
319744.2034,4092020.906,2011.32,un1,54,Abies concolor,White fir,2002,Live,0.952657324,3
319741.4134,4092020.656,2011.75,un1,30,Abies concolor,White fir,2002,Live,0.221948298,2
319740.6934,4092019.646,2011.48,un1,19,Abies concolor,White fir,2002,Live,0.07161536,1
319726.2234,4092019.396,2013.33,un1,17,Abies magnifica,Red fir,2002,Live,0.054382707,1
319723.2934,4092020.436,2014.22,un1,5,Abies concolor,White fir,2002,Live,0.002655783,1
319741.2834,4092019.026,2011.24,un1,110,Abies magnifica,Red fir,2002,Live,5.561777241,6
319722.6134,4092020.786,2014.27,un1,5,Abies magnifica,Red fir,2002,Live,0.002655783,1
319722.1734,4092020.596,2014.46,un1,21,Abies magnifica,Red fir,2002,Live,0.09174986,2
319721.7134,4092017.346,2013.96,un1,7,Abies concolor,White fir,2002,Live,0.00607676,1
319719.2034,4092019.476,2014.96,un1,15,Abies concolor,White fir,2002,Live,0.039900826,1
319718.7734,4092018.516,2014.96,un1,19,Abies magnifica,Red fir,2002,Live,0.07161536,1
319718.0434,4092017.676,2015.14,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319716.3134,4092017.256,2015.49,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319747.0434,4092017.796,2010.41,un1,33,Abies magnifica,Red fir,2002,Dead,0.227831856,2
319750.8234,4092016.926,2009.57,un1,27,Abies concolor,White fir,2002,Live,0.17096106,2
319753.3634,4092020.166,2009.8,un1,60,Abies magnifica,Red fir,2002,Live,1.237047097,3
319754.1834,4092017.016,2009.07,un1,12,Abies magnifica,Red fir,2002,Live,0.022981268,1
319754.3734,4092018.096,2009.28,un1,63,Abies magnifica,Red fir,2002,Live,1.396128794,4
319755.7734,4092017.606,2009.08,un1,17,Abies magnifica,Red fir,2002,Live,0.054382707,1
319755.9434,4092018.826,2009.3,un1,35,Abies concolor,White fir,2002,Live,0.325186417,2
319758.2834,4092024.986,2009.85,un1,8,Abies magnifica,Red fir,2002,Live,0.008445338,1
319759.1734,4092019.336,2008.81,un1,44,Abies magnifica,Red fir,2002,Live,0.573390216,3
319760.2234,4092019.976,2008.88,un1,123,Abies concolor,White fir,2002,Live,7.337434712,6
319761.4534,4092022.056,2009.11,un1,49,Abies concolor,White fir,2002,Live,0.748725283,3
319751.5734,4092024.366,2010.8,un1,77,Abies concolor,White fir,2002,Live,2.296334066,4
319851.8534,4091967.656,2004.33,un1,24,Abies magnifica,Red fir,2002,Live,0.127703527,2
319848.6534,4091967.256,2004.16,un1,9,Abies concolor,White fir,2002,Live,0.011293003,1
319848.2534,4091966.396,2003.97,un1,20,Abies concolor,White fir,2002,Live,0.081310767,1
319848.9834,4091973.426,2005.23,un1,18,Abies concolor,White fir,2002,Live,0.062645541,1
319846.2334,4091972.986,2005.08,un1,16,Abies concolor,White fir,2002,Live,0.046807714,1
319846.2934,4091966.626,2004.05,un1,42,Abies concolor,White fir,2002,Live,0.51094268,3
319846.2134,4091966.096,2003.88,un1,20,Abies concolor,White fir,2002,Live,0.081310767,1
319841.9634,4091964.826,2003.63,un1,21,Abies concolor,White fir,2002,Live,0.09174986,2
319841.0634,4091964.136,2003.42,un1,27,Abies concolor,White fir,2002,Live,0.17096106,2
319853.1634,4091955.306,2001.3,un1,16,Abies concolor,White fir,2002,Live,0.046807714,1
319854.7334,4091955.606,2001.53,un1,10,Abies concolor,White fir,2002,Live,0.014647586,1
319852.0434,4091956.086,2001.49,un1,11,Abies concolor,White fir,2002,Live,0.01853536,1
319846.5334,4091960.666,2002.9,un1,18,Abies concolor,White fir,2002,Live,0.062645541,1
319846.0334,4091960.666,2002.88,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319842.1934,4091961.796,2003.07,un1,11,Abies concolor,White fir,2002,Live,0.01853536,1
319841.7934,4091960.776,2002.89,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319842.9434,4091961.276,2002.86,un1,42,Abies concolor,White fir,2002,Live,0.51094268,3
319842.7934,4091960.776,2002.86,un1,30,Abies concolor,White fir,2002,Live,0.221948298,2
319839.8134,4091957.316,2002.23,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319840.9334,4091957.666,2002.35,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319841.0834,4091956.716,2002.22,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319838.7134,4091956.696,2002.31,un1,36,Abies concolor,White fir,2002,Live,0.348699111,2
319834.5134,4091953.556,2001.91,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319834.9034,4091953.376,2001.7,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319834.4234,4091952.506,2001.76,un1,89,Abies concolor,White fir,2002,Live,3.288709882,5
319846.2234,4091953.346,2001.01,un1,24,Abies concolor,White fir,2002,Live,0.127703527,2
319845.2534,4091950.636,2000.5,un1,63,Abies concolor,White fir,2002,Live,1.396128794,4
319846.7234,4091952.866,2000.91,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319838.6234,4091953.556,2001.81,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319839.3534,4091948.756,2000.44,un1,146,Abies concolor,White fir,2002,Live,11.22573636,6
319839.3834,4091964.406,2003.36,un1,23,Abies concolor,White fir,2002,Live,0.114929233,2
319839.3634,4091967.006,2003.78,un1,30,Abies concolor,White fir,2002,Live,0.221948298,2
319838.8034,4091967.316,2003.78,un1,14,Abies concolor,White fir,2002,Live,0.033641657,1
319835.2934,4091965.966,2003.77,un1,26,Abies concolor,White fir,2002,Live,0.155703523,2
319832.4234,4091964.916,2003.79,un1,9,Abies concolor,White fir,2002,Live,0.011293003,1
319831.7034,4091960.446,2003.03,un1,21,Abies concolor,White fir,2002,Live,0.09174986,2
319831.2234,4091958.386,2002.81,un1,5,Abies concolor,White fir,2002,Live,0.002655783,1
319832.9634,4091969.586,2004.52,un1,10,Abies concolor,White fir,2002,Live,0.014647586,1
319839.0834,4091971.406,2004.55,un1,27,Abies concolor,White fir,2002,Live,0.17096106,2
319841.4634,4091967.746,2004.04,un1,15,Abies concolor,White fir,2002,Live,0.039900826,1
319847.4834,4091977.426,2006.02,un1,53,Abies concolor,White fir,2002,Live,0.909516447,3
319845.7434,4091978.886,2006.41,un1,6,Abies concolor,White fir,2002,Live,0.004157572,1
319845.2434,4091978.966,2006.35,un1,11,Abies concolor,White fir,2002,Live,0.01853536,1
319844.4334,4091986.126,2007.76,un1,158,Abies concolor,White fir,2002,Live,13.65561796,6
319842.2334,4091989.516,2008.52,un1,142,Abies concolor,White fir,2002,Live,10.47822222,6
319834.4434,4091981.996,2006.91,un1,36,Abies concolor,White fir,2002,Live,0.348699111,2
319857.0234,4091990.426,2008.34,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319855.6734,4091993.246,2008.91,un1,50,Abies concolor,White fir,2002,Live,0.787179113,3
319854.9634,4091992.886,2008.91,un1,12,Abies concolor,White fir,2002,Live,0.022981268,1
319852.9534,4091994.916,2009.22,un1,21,Abies concolor,White fir,2002,Live,0.09174986,2
319852.4534,4091994.286,2009.02,un1,20,Abies concolor,White fir,2002,Live,0.081310767,1
319851.6234,4091996.346,2009.53,un1,12,Abies concolor,White fir,2002,Live,0.022981268,1
319851.5134,4091994.566,2009.25,un1,14,Abies concolor,White fir,2002,Live,0.033641657,1
319850.0134,4091996.946,2009.83,un1,8,Abies concolor,White fir,2002,Live,0.008445338,1
319852.4134,4091998.936,2010.3,un1,44,Abies concolor,White fir,2002,Live,0.573390216,3
319855.3634,4091997.466,2009.68,un1,26,Abies concolor,White fir,2002,Live,0.155703523,2
319856.0034,4091997.346,2009.63,un1,37,Abies concolor,White fir,2002,Live,0.37319827,2
319855.7734,4091999.436,2010,un1,15,Abies concolor,White fir,2002,Live,0.039900826,1
319858.4134,4092000.596,2010.25,un1,7,Abies concolor,White fir,2002,Live,0.00607676,1
319859.1434,4092000.576,2010.17,un1,21,Abies concolor,White fir,2002,Live,0.09174986,2
319858.7134,4092001.106,2010.17,un1,21,Abies concolor,White fir,2002,Live,0.09174986,2
319861.7734,4092000.096,2009.7,un1,27,Abies concolor,White fir,2002,Live,0.17096106,2
319860.7534,4092001.426,2009.98,un1,29,Abies concolor,White fir,2002,Live,0.204068438,2
319863.2434,4091999.296,2009.46,un1,43,Abies concolor,White fir,2002,Live,0.541629221,3
319865.5334,4092001.686,2009.31,un1,17,Abies concolor,White fir,2002,Live,0.054382707,1
319859.6934,4092007.386,2011.03,un1,16,Abies concolor,White fir,2002,Live,0.046807714,1
319861.2234,4092009.156,2011,un1,40,Abies concolor,White fir,2002,Live,0.452744451,2
319860.7234,4092011.506,2011.15,un1,20,Abies concolor,White fir,2002,Live,0.081310767,1
319859.6134,4092011.316,2011.24,un1,28,Abies concolor,White fir,2002,Live,0.187077649,2
319863.3934,4092013.356,2010.86,un1,15,Abies concolor,White fir,2002,Live,0.039900826,1
319862.8934,4092012.976,2010.86,un1,5,Abies concolor,White fir,2002,Live,0.002655783,1
319862.2434,4092013.426,2011.07,un1,18,Abies concolor,White fir,2002,Live,0.062645541,1
319862.5534,4092014.246,2010.88,un1,11,Abies concolor,White fir,2002,Live,0.01853536,1
319866.4434,4092015.476,2010.17,un1,10,Abies concolor,White fir,2002,Live,0.014647586,1
319867.0234,4092016.596,2009.99,un1,13,Abies concolor,White fir,2002,Live,0.028009104,1
319867.0034,4092017.096,2009.99,un1,14,Abies concolor,White fir,2002,Live,0.033641657,1
319867.5334,4092013.836,2009.61,un1,65,Abies magnifica,Red fir,2002,Dead,1.247068955,4
319863.7034,4091960.306,2001.93,un1,23,Abies concolor,White fir,2002,Live,0.114929233,2
319865.1634,4091960.156,2001.79,un1,24,Abies concolor,White fir,2002,Live,0.127703527,2
319882.7534,4092003.316,2005.82,un1,40,Abies concolor,White fir,2002,Live,0.452744451,2
319883.7034,4092005.506,2006.06,un1,7,Abies concolor,White fir,2002,Live,0.00607676,1
319883.7734,4092005.846,2006.06,un1,11,Abies concolor,White fir,2002,Live,0.01853536,1
319876.0534,4092003.766,2007.79,un1,68,Abies concolor,White fir,2002,Dead,1.227956218,4
319875.0134,4092005.606,2007.98,un1,107,N/A,N/A,2002,Dead,3.806615525,6
319874.9334,4092006.636,2007.95,un1,16,Abies concolor,White fir,2002,Live,0.046807714,1
