x,y,fire,year
14,341,3.95745,2010
15,341,2.57143,2010
18,341,1.53333,2010
19,341,1.15812,2010
20,341,2.26786,2010
21,341,3.03521,2010
22,341,3.35461,2010
23,341,3.41045,2010
24,341,3.41509,2010
26,341,1,2010
27,341,1,2010
28,341,1,2010
31,341,1,2010
32,341,1,2010
33,341,1,2010
34,341,3.17308,2010
35,341,2.1888,2010
36,341,2.85385,2010
37,341,3.75357,2010
38,341,3.81159,2010
39,341,3.76,2010
40,341,4.11111,2010
41,341,3.76316,2010
42,341,3.42857,2010
43,341,3.22464,2010
44,341,2.44583,2010
45,341,1.51786,2010
46,341,1.02727,2010
47,341,1,2010
48,341,3.5,2010
51,341,1,2010
52,341,1,2010
54,341,2.73214,2010
55,341,2.3254,2010
56,341,2.68831,2010
57,341,2.88356,2010
58,341,2.69072,2010
59,341,2.5,2010
1,340,2.43683,2010
2,340,2.74414,2010
3,340,3.08333,2010
4,340,3.036,2010
5,340,3.62992,2010
6,340,3.93443,2010
7,340,3.10185,2010
8,340,2.225,2010
9,340,1.75568,2010
10,340,3.83871,2010
11,340,3.60417,2010
12,340,3.47436,2010
13,340,3.75,2010
15,340,2.03571,2010
16,340,2.82474,2010
17,340,3.11905,2010
18,340,2.81313,2010
19,340,3.20079,2010
20,340,3.97468,2010
21,340,2.33784,2010
22,340,2.928,2010
23,340,3.18699,2010
24,340,1.64865,2010
25,340,1.64706,2010
26,340,1.91667,2010
27,340,1,2010
28,340,1,2010
31,340,1,2010
32,340,1.09091,2010
33,340,1.08148,2010
34,340,3.3617,2010
35,340,3.29924,2010
36,340,3.31867,2010
37,340,3.42222,2010
38,340,4.13139,2010
39,340,3.61607,2010
44,340,1.8,2010
45,340,1,2010
46,340,1.09091,2010
47,340,2.73864,2010
48,340,2.7234,2010
49,340,2.51,2010
50,340,1.45833,2010
55,340,3,2010
56,340,2.94521,2010
57,340,2.73529,2010
58,340,2.90476,2010
59,340,2,2010
62,340,1,2010
63,340,1,2010
64,340,1,2010
1,339,2.54839,2010
2,339,2.6875,2010
3,339,2.69149,2010
4,339,2.3381,2010
5,339,3.4964,2010
6,339,3.85714,2010
7,339,3.85043,2010
8,339,3.31731,2010
9,339,3.24227,2010
10,339,3.10811,2010
11,339,3.2027,2010
12,339,3.57317,2010
13,339,4,2010
14,339,1.1875,2010
15,339,1.60156,2010
16,339,2.84322,2010
17,339,3.81481,2010
18,339,4.19027,2010
19,339,3.81651,2010
20,339,3.9,2010
22,339,2.28571,2010
23,339,3,2010
24,339,1.54839,2010
25,339,1.63281,2010
26,339,1.73016,2010
27,339,1,2010
28,339,1,2010
32,339,2.95522,2010
33,339,2.93519,2010
34,339,3.43902,2010
35,339,3.70501,2010
36,339,3.47796,2010
37,339,3.40714,2010
38,339,3.56985,2010
39,339,3.08716,2010
44,339,1,2010
47,339,2.99569,2010
48,339,2.60417,2010
49,339,2.71,2010
50,339,1.375,2010
56,339,3.07692,2010
57,339,3,2010
62,339,1,2010
63,339,1,2010
64,339,1,2010
1,338,2.75,2010
2,338,2.43564,2010
3,338,2.84459,2010
4,338,3.01323,2010
5,338,3.88298,2010
6,338,3.70229,2010
7,338,3.5,2010
8,338,4,2010
9,338,2.54286,2010
10,338,1.94776,2010
11,338,2.12766,2010
12,338,2.8883,2010
13,338,3.43137,2010
14,338,2.4386,2010
15,338,1.2963,2010
16,338,1.35043,2010
17,338,4.14394,2010
18,338,4.56296,2010
19,338,3.90551,2010
20,338,3.40909,2010
22,338,1,2010
24,338,1.64444,2010
25,338,1.67021,2010
26,338,2,2010
27,338,1,2010
28,338,1,2010
30,338,2.66667,2010
32,338,2.88889,2010
33,338,2.92473,2010
34,338,3.28409,2010
35,338,3.37671,2010
36,338,3.31193,2010
37,338,1.80088,2010
38,338,1.47887,2010
39,338,1.11111,2010
41,338,3.47059,2010
42,338,3.59292,2010
43,338,1.7069,2010
44,338,1,2010
45,338,1,2010
46,338,1,2010
47,338,3.48485,2010
48,338,3.31618,2010
49,338,2.92982,2010
63,338,1,2010
3,337,3.825,2010
4,337,3.30172,2010
5,337,3.94215,2010
6,337,3.72222,2010
7,337,3.53846,2010
9,337,1.10345,2010
10,337,1.63924,2010
11,337,3.1,2010
12,337,3.30385,2010
13,337,2.91111,2010
14,337,2.98361,2010
15,337,2.89167,2010
16,337,3.52609,2010
17,337,4.34188,2010
18,337,4.2623,2010
19,337,4.46512,2010
25,337,1.20192,2010
26,337,3.49091,2010
27,337,2.6699,2010
28,337,3.84884,2010
29,337,3.71667,2010
30,337,3.57333,2010
34,337,1,2010
35,337,1,2010
36,337,1,2010
37,337,1.15385,2010
38,337,1.22458,2010
39,337,1.0303,2010
40,337,3.66667,2010
41,337,4.32,2010
42,337,3.64394,2010
43,337,2.45408,2010
44,337,1,2010
45,337,1,2010
46,337,1,2010
48,337,3,2010
49,337,3,2010
61,337,1,2010
4,336,3.9375,2010
5,336,3.3,2010
6,336,3.33333,2010
7,336,3.61842,2010
8,336,3.80189,2010
9,336,1.54545,2010
10,336,3.36813,2010
11,336,4.25,2010
12,336,4.08333,2010
13,336,3.41284,2010
14,336,3.5087,2010
15,336,3.28125,2010
16,336,3.99618,2010
17,336,4.46774,2010
24,336,1,2010
25,336,2.21008,2010
26,336,4.21364,2010
27,336,3.47917,2010
28,336,3.69173,2010
29,336,3.71538,2010
30,336,3.50562,2010
31,336,3.66667,2010
35,336,1,2010
39,336,3.16667,2010
40,336,2.90909,2010
41,336,3.9845,2010
42,336,4.15534,2010
43,336,3.33333,2010
53,336,3,2010
59,336,1.2,2010
60,336,1.61111,2010
61,336,1.57895,2010
62,336,1.33333,2010
6,335,3.13333,2010
7,335,3.53846,2010
8,335,2.68462,2010
9,335,2.644,2010
10,335,3.34926,2010
11,335,4.54962,2010
12,335,4.61864,2010
13,335,4.41204,2010
14,335,4.244,2010
15,335,3.1626,2010
16,335,3.24444,2010
17,335,4,2010
18,335,1,2010
19,335,1,2010
24,335,4.53704,2010
25,335,4.39928,2010
26,335,4.20543,2010
27,335,3.63281,2010
28,335,3.83582,2010
29,335,3.81206,2010
30,335,3.86691,2010
31,335,3.50826,2010
32,335,3.49419,2010
33,335,3.20833,2010
34,335,4,2010
36,335,4.54545,2010
37,335,3.39189,2010
38,335,3.29167,2010
39,335,3.4569,2010
40,335,2.46269,2010
41,335,2.40909,2010
42,335,3.8,2010
47,335,1,2010
48,335,1,2010
52,335,2.46667,2010
53,335,2.91011,2010
54,335,3.02326,2010
59,335,2,2010
60,335,2.09259,2010
61,335,2.18584,2010
62,335,1.92857,2010
7,334,3.42308,2010
8,334,3.69106,2010
9,334,3.71786,2010
10,334,4.16667,2010
11,334,4.40288,2010
12,334,4.22131,2010
13,334,4.21849,2010
14,334,4.29104,2010
15,334,4.5,2010
16,334,1,2010
17,334,1,2010
22,334,1,2010
24,334,4.76316,2010
25,334,4.67939,2010
26,334,3.04167,2010
27,334,3.63433,2010
28,334,2.90601,2010
29,334,3.25,2010
30,334,3.74296,2010
31,334,2.91727,2010
32,334,3.25,2010
33,334,3.44531,2010
34,334,3.67089,2010
35,334,4.12281,2010
36,334,3.90741,2010
37,334,2.57258,2010
38,334,2.79794,2010
39,334,3.58878,2010
40,334,3.02439,2010
41,334,2.2,2010
46,334,1.88,2010
47,334,1.86047,2010
48,334,1.07273,2010
52,334,2.90625,2010
53,334,2.8835,2010
54,334,2.86275,2010
59,334,1.97872,2010
60,334,2.57522,2010
61,334,2.075,2010
62,334,2.02381,2010
6,333,3.72222,2010
7,333,4.04918,2010
8,333,4.15493,2010
9,333,4.425,2010
10,333,4.38971,2010
11,333,4.36765,2010
12,333,4.22222,2010
13,333,4.33582,2010
14,333,4.24409,2010
16,333,1,2010
17,333,1,2010
