x,y,fire,year
40,343,3.47857,2010
41,343,3.81022,2010
42,343,3.90517,2010
43,343,4.2,2010
44,343,3.94964,2010
45,343,3.08955,2010
46,343,2.3042,2010
47,343,2.35145,2010
48,343,3.52869,2010
49,343,4.10526,2010
50,343,4,2010
51,343,3.875,2010
52,343,4.06383,2010
53,343,4.08333,2010
54,343,3.97761,2010
55,343,4.0989,2010
56,343,4,2010
59,343,1.29114,2010
60,343,1.25373,2010
1,342,3.63889,2010
2,342,3.53101,2010
3,342,2.61811,2010
4,342,2.67797,2010
5,342,4.03448,2010
6,342,3.625,2010
7,342,1.77273,2010
8,342,2.14844,2010
9,342,3,2010
10,342,3.03077,2010
11,342,2.45802,2010
12,342,2.73171,2010
13,342,3.29825,2010
14,342,2.83607,2010
15,342,2.98649,2010
16,342,1,2010
19,342,1.01786,2010
20,342,1.01527,2010
21,342,1,2010
24,342,1,2010
25,342,1.0102,2010
26,342,1.05263,2010
27,342,1.07143,2010
28,342,2.61765,2010
29,342,2.97877,2010
30,342,2.7336,2010
31,342,2.81651,2010
32,342,1.20787,2010
33,342,1.33984,2010
34,342,1.87879,2010
35,342,2.70513,2010
38,342,3.56522,2010
39,342,3.93103,2010
40,342,3.86014,2010
41,342,3.86861,2010
42,342,3.98507,2010
43,342,4.2521,2010
44,342,4.10638,2010
45,342,3.96923,2010
46,342,3.68797,2010
47,342,3.44097,2010
48,342,3.96262,2010
49,342,3.96667,2010
50,342,4,2010
51,342,4.18182,2010
52,342,4.04348,2010
53,342,4.02778,2010
54,342,3.94231,2010
55,342,3.94118,2010
58,342,1,2010
59,342,1,2010
60,342,1,2010
1,341,3.97273,2010
2,341,4.09615,2010
3,341,3.05417,2010
4,341,2.70833,2010
5,341,3.68504,2010
6,341,3.10593,2010
7,341,2.06569,2010
8,341,2.61947,2010
9,341,3.03226,2010
10,341,2.37168,2010
11,341,2.73874,2010
12,341,2.51724,2010
13,341,2.41279,2010
14,341,2.42553,2010
15,341,2.77778,2010
18,341,4.66667,2010
19,341,1,2010
20,341,1,2010
21,341,1,2010
23,341,3,2010
24,341,2.17241,2010
25,341,1.04464,2010
26,341,1.0087,2010
27,341,1.04348,2010
28,341,2,2010
29,341,2.73554,2010
30,341,2.48936,2010
31,341,2.98062,2010
32,341,3.125,2010
34,341,1.59375,2010
35,341,1,2010
38,341,3.84146,2010
39,341,3.77311,2010
40,341,4.29496,2010
41,341,4.3007,2010
42,341,4.16794,2010
43,341,4.18657,2010
44,341,4.47107,2010
45,341,4.35772,2010
46,341,4.3719,2010
47,341,4.1791,2010
48,341,3.93162,2010
49,341,4.10204,2010
50,341,3.86207,2010
51,341,4,2010
52,341,4.02532,2010
53,341,4.16279,2010
54,341,2.16667,2010
55,341,2.56364,2010
56,341,2.16667,2010
59,341,1,2010
60,341,1,2010
61,341,1,2010
1,340,3.42276,2010
2,340,2.78125,2010
3,340,3.27119,2010
4,340,2.2328,2010
5,340,1.61154,2010
6,340,2.28175,2010
7,340,2.3716,2010
8,340,2.48684,2010
9,340,2.35294,2010
10,340,2.59783,2010
11,340,3,2010
12,340,3.03165,2010
13,340,2.88636,2010
15,340,4.425,2010
16,340,4.4466,2010
17,340,4.33333,2010
18,340,4.54098,2010
19,340,3.68293,2010
23,340,2.95522,2010
24,340,2.91803,2010
25,340,2.91304,2010
26,340,1.23611,2010
27,340,1.16327,2010
28,340,1.47656,2010
29,340,2.1453,2010
30,340,2.29565,2010
31,340,3.02778,2010
34,340,2.90909,2010
35,340,2.91765,2010
36,340,2.67857,2010
38,340,1.44828,2010
39,340,3.24348,2010
40,340,3.7069,2010
41,340,4.04717,2010
42,340,3.93694,2010
43,340,3.96522,2010
44,340,4.06024,2010
45,340,3.68817,2010
46,340,4.05238,2010
47,340,4.32558,2010
48,340,4.02857,2010
49,340,3.92105,2010
50,340,3.9469,2010
51,340,3.98198,2010
52,340,4.02469,2010
53,340,2.68571,2010
54,340,1.13636,2010
55,340,2.46429,2010
56,340,1,2010
59,340,1,2010
60,340,1,2010
61,340,1,2010
1,339,2.94643,2010
2,339,2.58898,2010
3,339,2.80851,2010
4,339,2.0631,2010
5,339,1.9976,2010
6,339,2.74206,2010
7,339,2.75926,2010
8,339,2.94246,2010
9,339,3,2010
11,339,3.36667,2010
12,339,3.51562,2010
13,339,3.58065,2010
14,339,4.33333,2010
15,339,4.35246,2010
16,339,4.3252,2010
17,339,4.43284,2010
18,339,3.95175,2010
19,339,2.23232,2010
20,339,1,2010
23,339,3,2010
24,339,3.21014,2010
25,339,2.64062,2010
26,339,1.63333,2010
27,339,1.38077,2010
28,339,1.36207,2010
29,339,1.93333,2010
30,339,1.66667,2010
33,339,1.38462,2010
34,339,1.62174,2010
35,339,2.75221,2010
36,339,2.65574,2010
38,339,1,2010
39,339,1,2010
40,339,3.93939,2010
41,339,3.4,2010
42,339,2.65517,2010
43,339,3.19919,2010
44,339,3.30662,2010
45,339,3.69286,2010
46,339,4.01613,2010
47,339,3.6791,2010
48,339,4.19583,2010
49,339,4.00877,2010
50,339,3.9899,2010
51,339,3.98039,2010
52,339,4.03571,2010
54,339,1.19231,2010
55,339,1,2010
57,339,1,2010
59,339,1,2010
60,339,1,2010
61,339,1,2010
63,339,1,2010
64,339,1.13636,2010
2,338,3.625,2010
3,338,2.9916,2010
4,338,3.07143,2010
5,338,3.7305,2010
6,338,3.53435,2010
7,338,3.45652,2010
8,338,3.76866,2010
9,338,3.88889,2010
15,338,3.93421,2010
16,338,3.8622,2010
17,338,3.90128,2010
18,338,4.34351,2010
19,338,3.64151,2010
23,338,2.81818,2010
24,338,3.25185,2010
25,338,3.11017,2010
26,338,1.90456,2010
27,338,1.29545,2010
28,338,1.5,2010
32,338,1.25,2010
33,338,1.2562,2010
34,338,1.57812,2010
35,338,1.67059,2010
36,338,3.15385,2010
41,338,1,2010
42,338,1,2010
43,338,1.82121,2010
44,338,3.18465,2010
45,338,3.56835,2010
46,338,3.73897,2010
47,338,4.212,2010
48,338,4.125,2010
49,338,3.77419,2010
50,338,3.44578,2010
51,338,4,2010
56,338,1,2010
57,338,1,2010
58,338,1,2010
60,338,1,2010
63,338,1,2010
64,338,1.05882,2010
2,337,2.75,2010
3,337,3.2093,2010
4,337,3.14224,2010
5,337,3.81405,2010
6,337,3.51111,2010
7,337,3.51282,2010
8,337,4.16901,2010
9,337,4.1413,2010
10,337,3.78571,2010
14,337,3.6,2010
15,337,3.81753,2010
16,337,3.81219,2010
17,337,3.74113,2010
18,337,4.17218,2010
19,337,4.025,2010
21,337,1,2010
22,337,1.12857,2010
23,337,1.34058,2010
24,337,2.70652,2010
25,337,3.00847,2010
26,337,2.81395,2010
33,337,1.18868,2010
34,337,1.40566,2010
35,337,2.69159,2010
36,337,3.128,2010
37,337,3.26667,2010
43,337,2.075,2010
44,337,3.29699,2010
45,337,3.79924,2010
46,337,3.35315,2010
47,337,3.48598,2010
48,337,4,2010
49,337,3.91667,2010
50,337,1.06977,2010
51,337,1,2010
56,337,1,2010
57,337,1,2010
58,337,1,2010
65,337,1.16667,2010
66,337,1.20408,2010
67,337,1.5,2010
2,336,3,2010
3,336,3.08621,2010
4,336,3.36765,2010
5,336,3.35484,2010
6,336,3.46552,2010
7,336,3.77161,2010
8,336,3.95833,2010
9,336,3.8254,2010
10,336,2.71429,2010
14,336,3.2449,2010
15,336,3.32292,2010
16,336,3.93484,2010
17,336,4.16917,2010
18,336,4.16786,2010
19,336,4.07692,2010
21,336,1.38462,2010
22,336,1.24265,2010
23,336,1.64029,2010
24,336,3.27083,2010
25,336,3.55906,2010
26,336,3.49524,2010
27,336,3.59184,2010
29,336,4,2010
30,336,3.77551,2010
31,336,3.44444,2010
32,336,3.63636,2010
34,336,3,2010
35,336,3.15315,2010
36,336,3.10547,2010
