x,y,fire,year
2,335,2.51515,2010
3,335,1.7807,2010
4,335,2.83333,2010
5,335,3.5,2010
6,335,4.24675,2010
7,335,4.29474,2010
8,335,3.57143,2010
9,335,2.58411,2010
10,335,3.36556,2010
11,335,3.47667,2010
12,335,4.30769,2010
13,335,3.73913,2010
14,335,3.33146,2010
15,335,2.88406,2010
16,335,2.62381,2010
17,335,2.44267,2010
18,335,3.15789,2010
25,335,1.71186,2010
26,335,1.91765,2010
27,335,2.25926,2010
30,335,1,2010
31,335,1,2010
32,335,1,2010
33,335,1,2010
38,335,3.43243,2010
39,335,3.5,2010
42,335,3,2010
43,335,3.42222,2010
44,335,2.91566,2010
45,335,2.64583,2010
46,335,2.73188,2010
47,335,2.57143,2010
48,335,3.8125,2010
49,335,4.33333,2010
50,335,3.3,2010
51,335,3.09524,2010
52,335,3.64706,2010
53,335,3.70238,2010
54,335,4,2010
5,334,4,2010
6,334,3.9661,2010
7,334,3.93902,2010
8,334,3.30357,2010
9,334,2.88571,2010
10,334,3.25664,2010
11,334,3.736,2010
12,334,4,2010
13,334,3.68317,2010
14,334,3.45149,2010
15,334,3.16016,2010
16,334,2.88115,2010
17,334,2.85,2010
18,334,3.08861,2010
23,334,1.54545,2010
26,334,1,2010
27,334,1,2010
31,334,1,2010
32,334,1,2010
42,334,2.76859,2010
43,334,3.58088,2010
44,334,3.39493,2010
45,334,3.17143,2010
46,334,2.625,2010
47,334,2.62745,2010
48,334,4.16418,2010
49,334,4.11111,2010
50,334,3.73333,2010
51,334,3.52941,2010
52,334,3.44,2010
53,334,3.69048,2010
6,333,2.25,2010
7,333,2.13768,2010
8,333,2.71831,2010
9,333,3.37024,2010
10,333,3.62935,2010
11,333,4.04167,2010
12,333,3.57143,2010
13,333,3.57143,2010
14,333,3.67164,2010
15,333,3.22984,2010
16,333,2.83333,2010
17,333,1.27273,2010
18,333,1.66667,2010
19,333,2.79167,2010
20,333,3.15789,2010
22,333,2.66667,2010
23,333,2.28125,2010
26,333,1,2010
27,333,1,2010
36,333,2.96667,2010
37,333,3.10526,2010
38,333,3.87097,2010
42,333,2.816,2010
43,333,3.19697,2010
44,333,3.43617,2010
45,333,3.4898,2010
46,333,3.62044,2010
47,333,3.38889,2010
48,333,3.99248,2010
49,333,3.91304,2010
50,333,3.86486,2010
51,333,4,2010
6,332,1.86301,2010
7,332,2.34266,2010
8,332,2.90559,2010
9,332,3.29881,2010
10,332,3.825,2010
11,332,1.32432,2010
12,332,2.75,2010
13,332,3.5,2010
14,332,3.65079,2010
15,332,3.0625,2010
16,332,1,2010
17,332,1,2010
18,332,2.57895,2010
19,332,2.78077,2010
20,332,3.31855,2010
21,332,3.6,2010
22,332,3.64706,2010
23,332,4,2010
24,332,3.50794,2010
25,332,3.60317,2010
26,332,3.23077,2010
34,332,1,2010
35,332,1,2010
36,332,2.78378,2010
37,332,3.32051,2010
38,332,3.19608,2010
42,332,2.225,2010
43,332,2.31325,2010
44,332,2.82692,2010
45,332,3.33333,2010
46,332,3.14286,2010
47,332,4,2010
48,332,4.03636,2010
49,332,3.53252,2010
50,332,3.64623,2010
51,332,4.02041,2010
52,332,4,2010
57,332,1,2010
58,332,1,2010
59,332,3.625,2010
60,332,3.75,2010
65,332,1,2010
66,332,1.03125,2010
5,331,1.9375,2010
6,331,2.76619,2010
7,331,2.96377,2010
8,331,3.4507,2010
9,331,3.1223,2010
10,331,3.14286,2010
11,331,4.07895,2010
12,331,4.06612,2010
13,331,4.23913,2010
14,331,3.57653,2010
15,331,3.42208,2010
16,331,1.13636,2010
17,331,1.07692,2010
18,331,2.58228,2010
19,331,2.92157,2010
20,331,3.14249,2010
21,331,3.32593,2010
22,331,3.24879,2010
23,331,4.05242,2010
24,331,3.53546,2010
25,331,3.5942,2010
26,331,3.60345,2010
27,331,4,2010
34,331,1,2010
35,331,1,2010
36,331,1.25,2010
37,331,2.04132,2010
38,331,2.5,2010
42,331,3,2010
43,331,3.4486,2010
44,331,2.6,2010
45,331,3.05597,2010
46,331,3.77174,2010
47,331,4,2010
48,331,4.06849,2010
49,331,3.71212,2010
50,331,3.58974,2010
51,331,3.96721,2010
53,331,4.55556,2010
56,331,1.5,2010
57,331,1.14286,2010
58,331,1.04615,2010
59,331,3.21569,2010
60,331,3.04945,2010
61,331,3.27027,2010
62,331,3.16327,2010
63,331,3.40865,2010
64,331,3.65942,2010
65,331,3.76596,2010
66,331,2.74419,2010
5,330,3.11765,2010
6,330,3.00391,2010
7,330,3.16418,2010
8,330,2.83824,2010
9,330,2.96053,2010
11,330,4.01869,2010
12,330,4.03759,2010
13,330,4.21538,2010
14,330,4.08647,2010
15,330,3.57986,2010
16,330,4.05063,2010
17,330,2.80769,2010
18,330,2.97308,2010
19,330,3.13611,2010
20,330,2.88889,2010
21,330,3.40441,2010
22,330,2.3619,2010
23,330,4.04419,2010
24,330,3.85612,2010
25,330,4.17164,2010
26,330,4.1958,2010
27,330,4.25926,2010
31,330,3.44444,2010
32,330,3,2010
35,330,1,2010
37,330,1.01948,2010
38,330,1.34,2010
42,330,3.58209,2010
43,330,3.69784,2010
44,330,3.25,2010
45,330,3.07971,2010
46,330,3.91463,2010
47,330,3.88667,2010
48,330,4.35294,2010
49,330,4.55102,2010
50,330,4.86667,2010
51,330,4,2010
52,330,4.36842,2010
53,330,4.26042,2010
54,330,4.09375,2010
56,330,2.13208,2010
57,330,1.88372,2010
58,330,2.06316,2010
59,330,2.84868,2010
60,330,3.15385,2010
61,330,3.69286,2010
62,330,3.17347,2010
63,330,3.59459,2010
64,330,3.67476,2010
65,330,3.96154,2010
66,330,4.18056,2010
67,330,4.14286,2010
6,329,2.78261,2010
7,329,2.75949,2010
8,329,2.6875,2010
9,329,2.35714,2010
11,329,3.92063,2010
12,329,3.43452,2010
13,329,4.28195,2010
14,329,4.468,2010
15,329,3.95149,2010
16,329,3.93636,2010
17,329,2.9375,2010
18,329,3.05769,2010
19,329,3.5,2010
20,329,4,2010
21,329,3.94211,2010
22,329,3.15044,2010
23,329,3.73902,2010
24,329,3.90336,2010
25,329,3.98276,2010
26,329,3.42241,2010
27,329,2.99569,2010
28,329,2.15385,2010
31,329,3.29752,2010
32,329,3.66216,2010
33,329,1.5,2010
42,329,3.50704,2010
43,329,3.48227,2010
44,329,3.4,2010
45,329,3.55769,2010
46,329,3.72794,2010
47,329,3.05797,2010
48,329,3.50725,2010
49,329,4.29444,2010
50,329,4.64,2010
52,329,4.09091,2010
53,329,4.38793,2010
54,329,4.30412,2010
55,329,4.05,2010
56,329,4.07692,2010
57,329,3.93333,2010
58,329,3.27976,2010
59,329,2.83673,2010
60,329,3.34722,2010
61,329,3,2010
62,329,3.22464,2010
63,329,3.41667,2010
64,329,3.61702,2010
65,329,3.95161,2010
66,329,4.10714,2010
67,329,4,2010
8,328,1,2010
9,328,1,2010
10,328,3.33333,2010
11,328,3.23927,2010
12,328,3.71605,2010
13,328,4.27899,2010
14,328,4.43284,2010
15,328,3.34191,2010
16,328,3.66102,2010
20,328,3.53333,2010
21,328,2.76667,2010
22,328,2.85564,2010
23,328,3.00926,2010
24,328,3.48148,2010
25,328,3.61475,2010
26,328,3.71111,2010
27,328,3.26241,2010
28,328,2.65574,2010
31,328,2.9899,2010
32,328,2.72761,2010
33,328,2.01376,2010
34,328,2.06667,2010
37,328,1,2010
38,328,1,2010
42,328,3,2010
43,328,3.52381,2010
44,328,3.18182,2010
45,328,1,2010
46,328,3.41379,2010
47,328,3.29497,2010
48,328,3.6,2010
49,328,3.91481,2010
50,328,4.10345,2010
51,328,4.22222,2010
52,328,4.04762,2010
53,328,4.19262,2010
54,328,4.27966,2010
55,328,3.96386,2010
56,328,4.05696,2010
57,328,4.14655,2010
58,328,4.28421,2010
59,328,3.80769,2010
60,328,3.24138,2010
61,328,2.04545,2010
62,328,3.10784,2010
63,328,3.16239,2010
64,328,3.34302,2010
65,328,4.14103,2010
66,328,5,2010
8,327,1,2010
9,327,1,2010
10,327,3.75,2010
11,327,3.56767,2010
12,327,3.96763,2010
13,327,4.1378,2010
14,327,4.20098,2010
15,327,4.18023,2010
16,327,5,2010
18,327,1.81081,2010
19,327,1.91791,2010
20,327,2.37952,2010
21,327,2.98662,2010
22,327,2.95985,2010
23,327,3.04534,2010
24,327,2.38642,2010
25,327,2.66788,2010
26,327,3.4507,2010
27,327,3.70102,2010
28,327,3.82677,2010
29,327,3.5,2010
31,327,2.83333,2010
32,327,1.76238,2010
33,327,1.5969,2010
34,327,2,2010
36,327,1,2010
37,327,1.00952,2010
38,327,1.00862,2010
46,327,3.6746,2010
47,327,3.55769,2010
48,327,3.87611,2010
49,327,3.75417,2010
50,327,4.29818,2010
51,327,4.35088,2010
52,327,4.16,2010
53,327,4.06373,2010
54,327,4.43478,2010
55,327,3.90476,2010
56,327,4.42056,2010
57,327,4.04348,2010
58,327,4.14286,2010
59,327,4.11111,2010
61,327,2.42857,2010
62,327,2.37288,2010
63,327,3.15663,2010
64,327,3,2010
69,327,3.33333,2010
70,327,3.06383,2010
71,327,3,2010
2,326,2,2010
3,326,2.75,2010
6,326,3.95455,2010
7,326,3.57692,2010
8,326,2.2561,2010
9,326,1.13793,2010
10,326,1.4359,2010
11,326,2.99242,2010
12,326,3.65012,2010
13,326,3.70093,2010
14,326,3.304,2010
15,326,2.75333,2010
16,326,1.26613,2010
17,326,1.4,2010
18,326,1.7029,2010
19,326,2.125,2010
20,326,2.21134,2010
21,326,2.92308,2010
22,326,3.06934,2010
23,326,2.57661,2010
24,326,2.03216,2010
25,326,2.60357,2010
26,326,4,2010
27,326,3.89286,2010
28,326,3.89781,2010
29,326,3.68,2010
32,326,1.15385,2010
33,326,1,2010
34,326,1,2010
37,326,1.06132,2010
38,326,1.13274,2010
43,326,3.65217,2010
44,326,3.33929,2010
45,326,3.05882,2010
46,326,3.9,2010
47,326,3.91176,2010
48,326,3.64706,2010
49,326,3.9,2010
50,326,4.2875,2010
51,326,4.22115,2010
52,326,4.31776,2010
53,326,4.16667,2010
54,326,4.17526,2010
55,326,4.01961,2010
56,326,4.55882,2010
57,326,4.2043,2010
58,326,4.02273,2010
59,326,4.03774,2010
62,326,2.42857,2010
63,326,2.05714,2010
69,326,3.2963,2010
70,326,3.04444,2010
71,326,3.0303,2010
2,325,2.97368,2010
3,325,3.15217,2010
4,325,2.9726,2010
5,325,3.13043,2010
6,325,3.51773,2010
7,325,2.80303,2010
8,325,2.00494,2010
9,325,1.24803,2010
10,325,1,2010
11,325,1.57843,2010
12,325,3.42593,2010
13,325,3.94444,2010
14,325,3.65447,2010
15,325,2.59561,2010
16,325,1.36089,2010
17,325,1.02655,2010
18,325,1,2010
19,325,2.47436,2010
20,325,1.61009,2010
21,325,1.16667,2010
22,325,2.67021,2010
23,325,2.14286,2010
24,325,1,2010
25,325,1.94231,2010
26,325,3.96032,2010
27,325,4,2010
28,325,3.91429,2010
32,325,1,2010
33,325,1,2010
34,325,1,2010
37,325,2.68349,2010
38,325,2.71429,2010
39,325,3.05914,2010
42,325,3.4,2010
43,325,3.75,2010
44,325,3.71212,2010
45,325,3.23704,2010
46,325,3.03125,2010
48,325,3.14286,2010
49,325,3.07447,2010
50,325,3.35135,2010
51,325,3.63934,2010
52,325,3.60569,2010
53,325,3.67476,2010
54,325,3.7558,2010
55,325,2.92593,2010
56,325,3.69892,2010
57,325,4.03636,2010
58,325,3.86765,2010
59,325,3,2010
61,325,1.82222,2010
62,325,1.59406,2010
63,325,1.66667,2010
69,325,4,2010
70,325,3.1791,2010
71,325,3.27941,2010
2,324,1.60714,2010
3,324,2.77692,2010
4,324,2.86607,2010
5,324,3.13889,2010
6,324,3.2605,2010
7,324,2.69318,2010
8,324,1.95062,2010
9,324,1.66352,2010
10,324,1,2010
11,324,1,2010
13,324,3.85593,2010
14,324,3.94488,2010
15,324,3.08537,2010
16,324,1,2010
17,324,1,2010
18,324,1,2010
19,324,1,2010
20,324,1,2010
21,324,1,2010
26,324,4,2010
27,324,4,2010
33,324,1,2010
